# NSAID zone depth edge out
2671 850 3 0 0
2672 850 3 0 0
2674 850 3 0 0
2675 691 2 0 0
2679 850 2 0 0
2682 828 2 0 0
2684 1035 0 1 0
2686 691 2 0 0
2692 850 2 0 0
2693 850 3 0 0
2696 828 1 0 0
2697 22 4 0 0
2700 22 5 0 0
2705 1035 0 1 0
2706 813 2 0 0
2710 616 3 0 0
2715 574 3 0 0
2717 1035 0 1 0
2720 22 5 0 0
2722 1035 0 1 0
2723 652 3 0 0
2724 691 1 0 0
2727 828 2 0 0
2729 616 2 0 0
2730 850 3 0 0
2736 143 2 0 0
2738 574 2 0 0
2739 1035 0 1 0
2740 813 2 0 0
2742 1035 0 1 0
2744 22 4 0 0
2745 22 5 0 0
2746 1035 0 1 0
2747 22 5 0 0
2749 22 4 0 0
2750 143 3 0 0
2752 22 4 0 0
2753 850 3 0 0
2755 1035 0 1 0
2758 1035 0 1 0
2764 1035 0 1 0
2769 1035 0 1 0
2772 1035 0 1 0
2773 1035 0 1 0
2774 1035 0 1 0
2778 616 1 0 0
2785 1035 0 1 0
2793 1035 0 1 0
2794 1035 0 1 0
2797 616 1 0 0
2798 221 4 0 0
2804 1035 0 1 0
2807 1035 0 1 0
2808 1035 0 1 0
2809 371 7 0 0
2811 1035 0 1 0
2821 22 5 0 0
2822 371 7 0 0
2827 1035 0 1 0
2828 1035 0 1 0
2831 1035 0 1 0
2835 813 2 0 0
2837 371 8 0 0
2840 1035 0 1 0
2846 411 4 0 0
2849 411 3 0 0
2851 906 1 0 0
2852 603 4 0 0
2853 1035 0 1 0
2854 411 4 0 0
2857 1035 0 1 0
2861 22 3 0 0
2866 1035 0 1 0
2870 22 6 0 0
2871 371 8 0 0
2874 371 8 0 0
2875 1035 0 1 0
2878 371 8 0 0
2879 1035 0 1 0
2882 1035 0 1 0
2883 221 5 0 0
2884 411 4 0 0
2887 22 4 0 0
2889 1035 0 1 0
2895 1035 0 1 0
2896 1035 0 1 0
2897 1035 0 1 0
2901 371 9 0 0
2903 1035 0 1 0
2904 1035 0 1 0
2906 1035 0 1 0
2907 1035 0 1 0
2908 1035 0 1 0
2910 1035 0 1 0
2914 1035 0 1 0
2915 1035 0 1 0
2916 1035 0 1 0
2918 1035 0 1 0
2919 371 8 0 0
2920 1035 0 1 0
2921 1035 0 1 0
2922 1035 0 1 0
2924 1035 0 1 0
2925 850 4 0 0
2926 1035 0 1 0
2929 850 3 0 0
2931 22 4 0 0
2932 371 8 0 0
2936 371 8 0 0
2938 371 9 0 0
2940 1035 0 1 0
2941 1035 0 1 0
2951 850 4 0 0
2952 850 4 0 0
2953 1035 0 1 0
2954 1035 0 1 0
2956 1035 0 1 0
2966 691 2 0 0
2967 906 1 0 0
2968 22 3 0 0
2970 691 1 0 0
2971 22 5 0 0
2977 691 2 0 0
2987 143 3 0 0
2988 503 2 0 0
2990 828 2 0 0
2993 691 2 0 0
2994 143 4 0 0
2995 143 3 0 0
3002 813 3 0 0
3007 813 1 0 0
3008 813 2 0 0
3009 1035 0 1 0
3012 22 5 0 0
3013 371 7 0 0
3017 813 3 0 0
3018 850 2 0 0
3019 828 2 0 0
3020 143 4 0 0
3022 371 8 0 0
3024 143 3 0 0
3025 221 4 0 0
3030 411 3 0 0
3032 813 3 0 0
3033 691 2 0 0
3036 813 3 0 0
3037 828 2 0 0
3039 1035 0 1 0
3043 143 4 0 0
3046 371 6 0 0
3049 411 3 0 0
3050 652 4 0 0
3055 1035 0 1 0
3056 22 4 0 0
3058 1035 0 1 0
3060 1035 0 1 0
3065 652 3 0 0
3068 616 0 0 0
3069 371 6 0 0
3073 744 2 0 0
3077 22 3 0 0
3079 813 4 0 0
3081 813 2 0 0
3083 828 2 0 0
3085 813 3 0 0
3086 652 4 0 0
3088 143 4 0 0
3089 813 3 0 0
3090 850 2 0 0
3091 22 4 0 0
3093 371 6 0 0
3099 603 4 0 0
3104 371 6 0 0
3111 744 1 0 0
3116 371 6 0 0
3117 828 2 0 0
3118 603 3 0 0
3121 603 2 0 0
3125 603 2 0 0
3129 411 4 0 0
3130 744 1 0 0
3134 834 2 0 0
3135 744 1 0 0
3137 834 2 0 0
3139 834 2 0 0
3142 221 5 0 0
3143 1035 0 1 0
3146 1035 0 1 0
3148 1035 0 1 0
3149 1035 0 1 0
3156 603 2 0 0
3158 834 3 0 0
3160 603 3 0 0
3161 1035 0 1 0
3162 834 2 0 0
